"";"title";"year";"length";"budget";"rating";"votes"
"2609";"Lord of the Rings: The Fellowship of the Ring, The";2001;208;93000000;8,8;157608
"2610";"Lord of the Rings: The Return of the King, The";2003;251;94000000;9;103631
"2611";"Lord of the Rings: The Two Towers, The";2002;223;94000000;8,8;114797
"2612";"Los Locos";1997;99;NA;5,2;79
"2613";"Loser";2000;92;20000000;5,1;5152
"2614";"Losing Isaiah";1995;111;17000000;6,1;794
"2615";"Loss of Sexual Innocence, The";1999;106;4000000;5,3;977
"2616";"Lost Highway";1997;135;15000000;7,3;15936
"2617";"Lost In La Mancha";2002;89;NA;7,4;2112
"2618";"Lost Junction";2003;95;NA;5,1;203
"2619";"Lost Skeleton of Cadavra, The";2001;90;NA;6,7;717
"2620";"Lost Son, The";1999;102;NA;6,7;396
"2621";"Lost Souls";2000;97;28000000;4,6;3423
"2622";"Lost Treasure";2003;85;NA;3,9;71
"2623";"Lost Treasure of Sawtooth Island, The";1999;92;NA;4,7;37
"2624";"Lost World, The";1998;97;NA;3,8;247
"2625";"Lost World: Jurassic Park, The";1997;129;73000000;5,5;28055
"2626";"Lost and Delirious";2001;103;NA;7;2917
"2627";"Lost in Space";1998;130;80000000;4,7;15209
"2628";"Lost in Translation";2003;102;4000000;8;42450
"2629";"Lot Like Love, A";2005;107;30000000;4,6;786
"2630";"Love & Basketball";2000;124;15000000;6,7;2093
"2631";"Love & Human Remains";1993;100;NA;6,7;854
"2632";"Love 101";2000;86;NA;3,9;43
"2633";"Love Actually";2003;129;NA;7,7;21918
"2634";"Love Chronicles";2003;78;NA;7,5;6
"2635";"Love Come Down";2000;99;NA;5,4;99
"2636";"Love Don't Cost a Thing";2003;100;NA;4,1;689
"2637";"Love In the Time of Money";2002;90;NA;5,5;138
"2638";"Love Is All There Is";1996;120;NA;4,1;211
"2639";"Love Kills";1998;91;NA;3,4;87
"2640";"Love Letter";1995;117;NA;7,6;996
"2641";"Love Letter, The";1999;88;15000000;5,2;1258
"2642";"Love Letters";1945;101;NA;7,3;182
"2643";"Love Liza";2002;90;1000000;6,6;1588
"2644";"Love Me Twice";1996;81;NA;2,9;22
"2645";"Love Object";2003;88;1000000;6,3;427
"2646";"Love Serenade";1996;101;NA;6,8;492
"2647";"Love Song for Bobby Long, A";2004;119;NA;6,7;721
"2648";"Love Stinks";1999;94;4000000;5,3;1311
"2649";"Love Story";1970;99;2200000;6,2;2844
"2650";"Love Thy Neighbor";2002;89;NA;3,7;17
"2651";"Love Walked In";1997;95;NA;5,4;143
"2652";"Love and Death on Long Island";1997;94;NA;6,9;1405
"2653";"Love and Other Catastrophes";1996;78;250000;6,5;783
"2654";"Love and Rage";1998;100;NA;5,7;46
"2655";"Love and a Bullet";2002;85;NA;5,2;288
"2656";"Love in Paris";1997;105;NA;1,9;575
"2657";"Love the Hard Way";2001;104;NA;6,1;400
"2658";"Love! Valour! Compassion!";1997;108;NA;6,4;1036
"2659";"Love's Labour's Lost";2000;93;13000000;5,9;1254
"2660";"Love, Honour and Obey";2000;103;NA;6;851
"2661";"Love, Sex and Eating the Bones";2003;100;NA;5,7;211
"2662";"Loveblind";2000;99;NA;4,3;39
"2663";"Loved";1997;109;NA;4,3;135
"2664";"Lovelife";1997;88;NA;5,6;112
"2665";"Lovely & Amazing";2001;91;250000;6,9;1813
"2666";"Lovemaster, The";1997;84;NA;4,5;28
"2667";"Lover Girl";1997;87;1000000;5,3;102
"2668";"Lover's Knot";1996;82;NA;5;77
"2669";"Lover's Leap";1995;90;NA;3;56
"2670";"Loving Jezebel";1999;87;NA;4,2;105
"2671";"Lucie Aubrac";1997;115;NA;6,7;335
"2672";"Lucinda's Spell";1998;105;NA;3;54
"2673";"Luck of the Draw";2000;101;NA;4,6;178
"2674";"Lucky";2002;83;NA;6,2;110
"2675";"Lucky 13";2004;95;1200000;5,7;151
"2676";"Lucky Break";2001;108;6000000;6,3;707
"2677";"Lucky Numbers";2000;105;65000000;5;2396
"2678";"Luckytown";2000;101;NA;4,7;257
"2679";"Lulu on the Bridge";1998;112;NA;6,1;1278
"2680";"Luminarias";2000;100;1000000;2,7;381
"2681";"Lunarcop";1994;88;NA;2,6;80
"2682";"Lunes al sol, Los";2002;113;4000000;7,8;1466
"2683";"Lured Innocence";1999;93;NA;4,4;115
"2684";"Lurid Tales: The Castle Queen";1996;82;NA;2,7;17
"2685";"Lush";1999;93;NA;4,6;79
"2686";"Luther";2003;121;NA;7,1;1567
"2687";"Luzhin Defence, The";2000;109;NA;7;1371
"2688";"Lying In Wait";2000;90;NA;4,4;103
"2689";"M.O. of M.I.";2002;90;NA;5,5;37
"2690";"MASH";1970;112;3500000;7,8;14829
"2691";"MVP: Most Valuable Primate";2000;93;NA;4,8;196
"2692";"Ma femme est une actrice";2001;93;NA;6,7;915
"2693";"Ma vie en rose";1997;88;NA;7,4;2228
"2694";"Macbeth in Manhattan";1999;97;NA;5,3;48
"2695";"Mach 2";2001;91;NA;3,4;70
"2696";"Macon County Jail";1997;92;NA;4,4;90
"2697";"Mad About Mambo";2000;92;NA;5,7;332
"2698";"Mad City";1997;115;50000000;6;3965
"2699";"Mad Dog Time";1996;85;NA;4,8;643
"2700";"Mad Dog and Glory";1993;97;NA;6,1;3601
"2701";"Mad Dogs and Englishmen";1995;97;NA;3,7;136
"2702";"Mad Love";1995;93;NA;5;1606
"2703";"Madam Savant";1997;89;NA;2,1;15
"2704";"Maddening, The";1995;95;NA;4,7;157
"2705";"Made";2001;94;5000000;6,5;4487
"2706";"Made Men";1999;94;NA;5,7;457
"2707";"Made-Up";2002;96;NA;6,5;74
"2708";"Madeline";1998;88;NA;6,1;550
"2709";"Madhouse";2004;91;3000000;5,4;389
"2710";"Madison";2001;94;NA;5,8;107
"2711";"Madness of King George, The";1994;107;NA;7,3;2901
"2712";"Madonna: Truth or Dare";1991;114;4500000;5,5;2660
"2713";"Magdalene Sisters, The";2002;119;NA;8;4350
"2714";"Magenta";1996;91;NA;4,6;57
"2715";"Magic in the Water";1995;101;NA;6,2;288
"2716";"Magnolia";1999;188;37000000;8;45992
"2717";"Maid in Manhattan";2002;105;55000000;4,6;12237
"2718";"Mail Order Bride";2003;84;NA;4,2;65
"2719";"Mail Order Wife";2004;92;NA;7;53
"2720";"Mailman, The";2004;85;75000;7;6
"2721";"Majestic, The";2001;156;72000000;6,7;8649
"2722";"Major Dundee";1965;152;3800000;6,4;468
"2723";"Major League: Back to the Minors";1998;100;NA;4;1109
"2724";"Major Payne";1995;95;NA;5,1;2120
"2725";"Maker, The";1997;98;NA;5,6;251
"2726";"Making a Killing";2002;90;NA;6,8;16
"2727";"Malevolent";2002;95;NA;5;88
"2728";"Malibu's Most Wanted";2003;86;16000000;4,9;2099
"2729";"Malicious";1995;92;NA;4,7;272
"2730";"Mallrats";1995;94;6100000;7,1;22837
"2731";"Mambo italiano";2003;92;NA;6,6;1229
"2732";"Man Apart, A";2003;110;36000000;5,4;4231
"2733";"Man Called Horse, A";1970;114;NA;6,8;705
"2734";"Man Who Cried, The";2000;97;NA;5,9;2313
"2735";"Man Who Knew Too Little, The";1997;94;NA;6,2;4457
"2736";"Man Who Wasn't There, The";2001;118;20000000;7,7;17028
"2737";"Man from Elysian Fields, The";2001;106;6500000;6,8;1198
"2738";"Man in the Iron Mask, The";1998;132;35000000;6;11127
"2739";"Man of Her Dreams";1997;94;NA;4,8;60
"2740";"Man of the Century";1999;77;NA;6,7;359
"2741";"Man of the House";2005;97;40000000;5,2;511
"2742";"Man on Fire";2004;146;70000000;7,4;14358
"2743";"Man on the Moon";1999;118;52000000;7,3;19826
"2744";"Man with Rain in His Shoes, The";1998;96;NA;6,6;607
"2745";"Man-Thing";2005;96;30000000;3,8;163
"2746";"Managua";1996;108;NA;3,3;33
"2747";"Manchurian Candidate, The";2004;129;NA;6,7;9896
"2748";"Manhattan Merengue!";1995;94;NA;4,1;14
"2749";"Maniacts";2001;92;NA;5,7;48
"2750";"Manic";2001;100;NA;7,4;427
"2751";"Manna From Heaven";2002;119;NA;5,9;188
"2752";"Manny & Lo";1996;88;500000;6,9;395
"2753";"Mansfield Park";1999;112;NA;7,2;2868
"2754";"Manson Family, The";2003;95;NA;5,1;244
"2755";"Map of the World, A";1999;125;NA;6,5;1194
"2756";"Maquinista, El";2004;102;5000000;7,7;4322
"2757";"Marci X";2003;80;20000000;2,8;741
"2758";"Margaret's Museum";1995;114;NA;7,1;528
"2759";"Maria Full of Grace";2004;101;NA;7,7;4131
"2760";"Marie Baie des Anges";1997;90;NA;5,6;244
"2761";"Marilyn's Man";2004;92;825000;7,6;24
"2762";"Marquis de Sade";1996;93;NA;3,9;114
"2763";"Mars Attacks!";1996;106;70000000;6,1;27363
"2764";"Martha, Meet Frank, Daniel and Laurence";1998;88;NA;6,4;1500
"2765";"Martin Lawrence Live: Runteldat";2002;113;3000000;4,6;504
"2766";"Marvin's Room";1996;98;23000000;6,5;4005
"2767";"Mary Reilly";1996;108;47000000;5,5;2806
"2768";"Mary, Queen of Scots";1971;128;NA;6,9;333
"2769";"Mascara";1999;94;NA;4,9;36
"2770";"Mask of Death";1996;89;NA;4,1;82
"2771";"Mask of Zorro, The";1998;136;65000000;6,8;18220
"2772";"Masked and Anonymous";2003;112;NA;4,9;773
"2773";"Masseuse";1996;93;NA;2;56
"2774";"Master and Commander: The Far Side of the World";2003;138;150000000;7,5;21328
"2775";"Master of Disguise, The";2002;80;16000000;2,9;3903
"2776";"Masterminds";1997;106;NA;4,6;739
"2777";"Match, The";1999;95;NA;5,7;327
"2778";"MatchMaker, The";1997;97;NA;6,1;1742
"2779";"Matchstick Men";2003;120;NA;7,4;13684
"2780";"Maternal Instincts";1996;92;NA;4,1;43
"2781";"Matilda";1996;102;36000000;6,5;4351
"2782";"Mating Habits of the Earthbound Human, The";1999;90;NA;6,4;1266
"2783";"Matrix Reloaded, The";2003;138;127000000;7,1;57225
"2784";"Matrix Revolutions, The";2003;125;110000000;6,3;40058
"2785";"Matrix, The";1999;136;63000000;8,5;143853
"2786";"Matter of Life and Death, A";1946;104;NA;8,1;2093
"2787";"Max Keeble's Big Move";2001;86;12000000;5,3;587
"2788";"Maximum Revenge";1997;78;NA;3,2;42
"2789";"Maximum Risk";1996;100;NA;4,9;2234
"2790";"May";2002;93;1700000;6,8;3324
"2791";"Maybe Baby";2000;96;NA;5,7;1017
"2792";"Mayerling";1968;140;5000000;5,6;154
"2793";"Mayor of the Sunset Strip";2003;94;NA;7,5;319
"2794";"Maze";2000;97;NA;6,4;266
"2795";"McCinsey's Island";1998;95;NA;2,5;117
"2796";"McHale's Navy";1997;108;42000000;3,7;1758
"2797";"McKenzie Break, The";1970;108;NA;6,4;192
"2798";"Me Myself I";1999;100;NA;6,7;964
"2799";"Me Without You";2001;107;NA;6,6;678
"2800";"Me and Will";1999;101;NA;5,3;106
"2801";"Me and You and Everyone We Know";2005;90;NA;5,7;103
"2802";"Me, Myself & Irene";2000;116;51000000;6;21305
"2803";"Mean Creek";2004;89;500000;7,3;2094
"2804";"Mean Girls";2004;97;17000000;7;11591
"2805";"Mean Guns";1997;110;NA;4,8;736
"2806";"Mean Machine";2001;101;NA;6,1;2812
"2807";"Medallion, The";2003;88;41000000;4,5;2765
"2808";"Medicine Show, The";2001;100;NA;6,3;81
"2809";"Meet Joe Black";1998;178;90000000;6,6;16796
"2810";"Meet Prince Charming";1999;94;NA;4,7;174
"2811";"Meet Wally Sparks";1997;105;NA;4,5;677
"2812";"Meet the Deedles";1998;93;24000000;3,4;443
"2813";"Meet the Fockers";2004;115;80000000;6,5;11950
"2814";"Meet the Parents";2000;108;55000000;7;30804
"2815";"Meeting Daddy";2000;96;NA;5,4;93
"2816";"Megalodon";2004;90;NA;3,5;227
"2817";"Megiddo: The Omega Code 2";2001;104;22000000;3,8;729
"2818";"Melinda and Melinda";2004;100;NA;6,8;1567
"2819";"Melting Pot";1997;104;NA;5;35
"2820";"Melvin Goes to Dinner";2003;83;NA;7,3;595
"2821";"Memento";2000;113;5000000;8,7;90317
"2822";"Memorial Day";1999;79;NA;2,2;7
"2823";"Memories";1995;113;NA;7,9;800
"2824";"Memory Run";1996;90;NA;4,5;90
"2825";"Men in Black";1997;98;90000000;6,8;53231
"2826";"Men in Black II";2002;88;140000000;5,6;21580
"2827";"Men of Honor";2000;129;32000000;6,6;9684
"2828";"Men of War";1994;99;12000000;4,6;397
"2829";"Men with Brooms";2002;102;7500000;5,9;1096
"2830";"Menace II Society";1993;97;3500000;7,3;4704
"2831";"Mentale, La";2002;106;NA;5,2;175
"2832";"Merchant of Death";1997;96;NA;3,3;66
"2833";"Merchant of Venice, The";2004;138;30000000;7,3;1400
"2834";"Mercury Rising";1998;108;60000000;5,6;8202
"2835";"Mercy";2000;94;NA;5,2;617
"2836";"Mercy Streets";2000;106;600000;4,6;149
"2837";"Message in a Bottle";1999;126;30000000;5,4;5582
"2838";"Message in a Cell Phone";2000;85;NA;5,3;50
"2839";"Messenger: The Story of Joan of Arc, The";1999;148;NA;6,2;10476
"2840";"Metoroporisu";2001;107;14500000;7,3;3380
"2841";"Metro";1997;117;55000000;5,2;3560
"2842";"Metroland";1997;101;NA;6,5;620
"2843";"Mexican, The";2001;123;38000000;6;13935
"2844";"Mi Casa, Su Casa";2003;94;NA;5,1;105
"2845";"Michael Moore Hates America";2004;125;200000;4,2;629
"2846";"Mickey";2004;90;6000000;5,4;52
"2847";"Mickey Blue Eyes";1999;102;40000000;5,8;7247
"2848";"Midnight Confessions";1995;81;NA;3,8;27
"2849";"Midnight Hour, The";2000;91;NA;2,5;57
"2850";"Midnight Man";1995;87;NA;5,9;52
"2851";"Midnight Mass";2003;98;NA;2,2;84
"2852";"Midnight Tease II";1995;91;NA;3;69
"2853";"Midnight in the Garden of Good and Evil";1997;155;30000000;6,4;8517
"2854";"Midsummer Night's Dream, A";1999;116;NA;6,3;4987
"2855";"Mifunes sidste sang";1999;98;NA;7,1;2696
"2856";"Mighty Aphrodite";1995;95;15000000;7;7083
"2857";"Mighty Joe Young";1998;114;49000000;5,6;2873
"2858";"Mighty Morphin Power Rangers: The Movie";1995;95;NA;3,1;2250
"2859";"Mighty Wind, A";2003;91;NA;7,3;5941
"2860";"Mighty, The";1998;100;NA;7,1;2577
"2861";"Militia";2000;89;NA;3,6;162
"2862";"Million Dollar Baby";2004;132;30000000;8,3;20195
"2863";"Million Dollar Hotel, The";2000;122;8000000;5,5;4746
"2864";"Million Dollar Kid, The";2000;91;NA;4,5;73
"2865";"Millions";2004;98;NA;7,9;938
"2866";"Milo";1998;91;NA;3,2;216
"2867";"Milwaukee, Minnesota";2003;95;NA;6,6;91
"2868";"Mimic";1997;105;25000000;5,6;6052
"2869";"Mind Games";1996;104;NA;5;54
"2870";"Mind the Gap";2004;134;NA;4,5;23
"2871";"Mindbender";1996;93;NA;3,9;53
"2872";"Mindhunters";2004;102;27000000;6,3;3925
"2873";"Mindstorm";2001;97;NA;4,2;128
"2874";"Minion, The";1998;95;12000000;3,2;338
"2875";"Minority Report";2002;145;102000000;7,8;51199
"2876";"Minus Man, The";1999;111;NA;6,2;1921
"2877";"Mio viaggio in Italia, Il";1999;246;NA;8,2;360
"2878";"Miracle";2004;135;NA;7,7;5785
"2879";"Mirage";1995;92;NA;5;51
"2880";"Miranda";2002;90;NA;5,7;443
"2881";"Mirror Has Two Faces, The";1996;122;42000000;5,7;2775
"2882";"Misbegotten";1998;95;NA;3,9;130
"2883";"Mischievous";1996;97;NA;2,8;35
"2884";"Miss Congeniality";2000;109;45000000;6,2;16235
"2885";"Miss Congeniality 2: Armed and Fabulous";2005;115;NA;5;1555
"2886";"Miss Julie";1999;103;NA;6;380
"2887";"Miss Monday";1998;90;NA;6,4;80
"2888";"Mission Kashmir";2000;160;NA;7,2;289
"2889";"Mission: Impossible";1996;110;75000000;6,6;33496
"2890";"Mission: Impossible II";2000;123;125000000;5,7;35958
"2891";"Mistress";1992;110;NA;5,4;402
"2892";"Mistress of Seduction";1998;92;NA;3,1;51
"2893";"Mixed Nuts";1994;97;NA;4,7;1769
"2894";"Mixing Nia";1998;92;NA;6,1;64
"2895";"Mod Squad, The";1999;92;NA;3,9;2969
"2896";"Modern Affair, A";1995;90;NA;5,4;45
"2897";"Modern Vampires";1998;91;2000000;4,1;700
"2898";"Modigliani";2004;128;12000000;7;155
"2899";"Mojave Moon";1996;95;NA;5,5;361
"2900";"Moll Flanders";1996;113;NA;5,9;784
"2901";"Molly";1999;102;21000000;5,5;610
"2902";"Molly Maguires, The";1970;124;11000000;6,6;455
"2903";"Molokai: The Story of Father Damien";1999;113;NA;6,1;250
"2904";"Mom, Can I Keep Her?";1998;90;NA;3,5;46
"2905";"Mona Lisa Smile";2003;117;65000000;6,1;6838
"2906";"Mondovino";2004;159;NA;7,2;135
"2907";"Money Buys Happiness";1999;109;NA;5,2;16
"2908";"Money Talks";1997;97;25000000;5,5;2720
"2909";"Money Train";1995;103;68000000;5,1;5081
"2910";"Monkey's Mask, The";2000;94;NA;5,5;305
"2911";"Monkeybone";2001;92;75000000;4,7;3112
"2912";"Mononoke-hime";1997;134;NA;8,3;19350
"2913";"Monsieur Ibrahim et les fleurs du Coran";2003;96;NA;7,4;1247
"2914";"Monsoon Wedding";2001;114;NA;7,4;5241
"2915";"Monsoon Wife";2004;92;1000000;4,7;15
"2916";"Monster";2003;109;8000000;7,4;12306
"2917";"Monster Mash: The Movie";1995;82;NA;3,3;46
"2918";"Monster's Ball";2001;112;4000000;7,3;15037
"2919";"Monster-in-Law";2005;102;60000000;5,6;147
"2920";"Montana";1998;92;4000000;6,1;417
"2921";"Month by the Lake, A";1995;85;NA;6,4;480
"2922";"Moonbase";1998;89;NA;3,5;67
"2923";"Moondance";1995;92;NA;6;64
"2924";"Moonlight Mile";2002;117;20000000;6,9;3479
"2925";"Moonlight and Valentino";1995;105;NA;5,7;957
"2926";"More Dead Than Alive";1968;96;NA;6,7;54
"2927";"More Dogs Than Bones";2000;99;NA;4,8;101
"2928";"Morella";1997;90;NA;2,6;36
"2929";"Morgan's Ferry";1999;91;NA;6;223
"2930";"Mortal Kombat";1995;101;20000000;5;8779
"2931";"Mortal Kombat: Annihilation";1997;91;30000000;3;5799
"2932";"Morvern Callar";2002;97;NA;6,3;1580
"2933";"Mosaic Project, The";1994;95;NA;3;22
"2934";"Mosquito";1995;92;200000;3,3;312
"2935";"Most Wanted";1997;99;NA;5,3;1052
"2936";"Mostro, Il";1994;112;NA;7,1;1084
"2937";"Motel Blue";1999;87;NA;4,7;55
"2938";"Mother Night";1996;114;5500000;7,1;1232
"2939";"Mothman Prophecies, The";2002;119;42000000;6,5;11073
"2940";"Motives";2004;87;NA;4,5;135
"2941";"Moulin Rouge!";2001;127;52500000;7,7;47689
"2942";"Mousehunt";1997;99;38000000;5,8;4637
"2943";"Moving Target";1997;106;NA;4,9;56
"2944";"Moving Targets";1998;90;NA;3,4;26
"2945";"Mr 3000";2004;104;30000000;5,7;1459
"2946";"Mr. Accident";2000;88;NA;3,8;213
"2947";"Mr. Bones";2001;101;NA;3;304
"2948";"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.";1999;91;NA;7,3;1181
"2949";"Mr. Deeds";2002;96;50000000;5,5;11729
"2950";"Mr. Holland's Opus";1995;143;NA;7,1;9273
"2951";"Mr. Jealousy";1997;103;NA;6;477
"2952";"Mr. Magoo";1997;87;NA;3,3;2744
"2953";"Mr. Reliable";1996;112;NA;6,6;161
"2954";"Mr. Rice's Secret";2000;113;NA;5,6;157
"2955";"Mr. Smith Gets a Hustler";2002;83;NA;4,8;53
"2956";"Mr. Wrong";1996;96;NA;3,4;1772
"2957";"Mrs. Brown";1997;103;NA;7,3;2761
"2958";"Mrs. Dalloway";1997;97;NA;6,8;665
"2959";"Mrs. Munck";1995;96;NA;4;29
"2960";"Mrs. Winterbourne";1996;105;25000000;5,8;1310
"2961";"Mu Sa Do";2002;93;NA;3,6;24
"2962";"Mua he chieu thang dung";2000;112;NA;7;1021
"2963";"Mudge Boy, The";2003;94;800000;6,8;204
"2964";"Muertos de risa";1999;111;3500000;6,3;334
"2965";"Mule Skinner Blues";2001;93;NA;6,3;37
"2966";"Mulholland Dr.";2001;147;15000000;7,9;35504
"2967";"Mulholland Falls";1996;107;NA;5,8;3155
"2968";"Mulletville";2002;93;NA;6,6;27
"2969";"Multiplicity";1996;117;45000000;5,7;5241
"2970";"Mumford";1999;112;28000000;6,9;3384
"2971";"Mummy Returns, The";2001;130;98000000;6,1;23551
"2972";"Mummy's Kiss, The";2003;88;NA;2,5;79
"2973";"Mummy, The";1999;124;76000000;6,5;36216
"2974";"Murder by Numbers";2002;120;50000000;6;8358
"2975";"Murdercycle";1999;90;NA;2,3;122
"2976";"Murdered Innocence";1995;80;NA;5,4;20
"2977";"Murders in the Rue Morgue";1971;87;700000;4,9;137
"2978";"Muriel's Wedding";1994;106;3000000;7,1;6685
"2979";"Murphy's War";1971;107;NA;6,6;415
"2980";"Muse, The";1999;97;15000000;5,6;3513
"2981";"Music From Another Room";1998;104;NA;6,5;1025
"2982";"Music of the Heart";1999;124;27000000;6,6;2348
"2983";"Musketeer, The";2001;104;40000000;4,4;3966
"2984";"Mutant Aliens";2001;81;200000;6,4;223
"2985";"Mutant Species";1995;100;1750000;2,8;42
"2986";"Mute Witness";1994;95;2000000;6,8;1202
"2987";"Mutual Needs";1997;94;NA;3,7;65
"2988";"My 5 Wives";2000;100;NA;4,4;245
"2989";"My Baby's Daddy";2004;88;NA;3,8;632
"2990";"My Best Friend's Wedding";1997;105;46000000;6,4;16648
"2991";"My Big Fat Greek Wedding";2002;95;5000000;6,9;21675
"2992";"My Boss's Daughter";2003;90;14000000;4,1;2765
"2993";"My Brother the Pig";1999;92;NA;5;108
"2994";"My Cousin Vinny";1992;120;11000000;7,2;10877
"2995";"My Dog Skip";2000;95;7000000;7,1;3109
"2996";"My Family";1995;128;5500000;7;859
"2997";"My Favorite Martian";1999;93;60000000;4,5;1942
"2998";"My Fellow Americans";1996;101;21500000;6,3;2752
"2999";"My First Mister";2001;109;NA;7,2;1593
"3000";"My Giant";1998;103;NA;4,9;1246
"3001";"My Life So Far";1999;98;NA;6,6;665
"3002";"My Life Without Me";2003;107;NA;7,6;3017
"3003";"My Life's in Turnaround";1993;84;22000;3,9;196
"3004";"My Little Eye";2002;92;3000000;5,9;2244
"3005";"My Name Is Joe";1998;105;NA;7,4;1810
"3006";"My Name Is Modesty: A Modesty Blaise Adventure";2003;78;NA;4,3;203
"3007";"My Son the Fanatic";1997;87;NA;7;494
"3008";"My Summer of Love";2004;86;NA;7,3;222
"3009";"My Teacher's Wife";1995;89;NA;5,2;224
"3010";"Mystery Men";1999;121;68000000;5,8;13331
"3011";"Mystery Monsters";1997;55;NA;2,5;31
"3012";"Mystery, Alaska";1999;119;28000000;6,4;5440
"3013";"Mystic Masseur, The";2001;117;2500000;5,2;157
"3014";"Mystic River";2003;137;30000000;8;28969
"3015";"Myth of Fingerprints, The";1997;93;NA;6,2;926
"3016";"NASCAR 3D: The IMAX Experience";2004;40;NA;7;167
"3017";"Nadie conoce a nadie";1999;108;3000000;6,3;565
"3018";"Nadja";1994;93;1000000;5,7;781
"3019";"Nailed";2001;90;NA;4,2;110
"3020";"Nain rouge, Le";1998;101;NA;6,4;91
"3021";"Naked Detective, The";1996;84;NA;3,5;59
"3022";"Naked Lies";1998;93;NA;3,2;81
"3023";"Naked Souls";1995;85;NA;2,7;433
"3024";"Naked States";2000;80;NA;6,6;151
"3025";"Namu, the Killer Whale";1966;89;NA;5,8;36
"3026";"Napoleon Dynamite";2004;86;400000;7,2;17524
"3027";"Naqoyqatsi";2002;89;3000000;6,9;575
"3028";"Narc";2002;105;7500000;7,3;7185
"3029";"National Lampoon Presents Dorm Daze";2003;96;NA;4,2;803
"3030";"National Security";2003;88;NA;4,6;3762
"3031";"National Treasure";2004;131;100000000;6,6;12361
"3032";"Nattens engel";1998;98;700000;4,9;209
"3033";"Naturally Native";1998;107;700000;8,5;26
"3034";"Nature of the Beast";1995;91;NA;5,7;272
"3035";"Nautilus";2000;97;NA;4,1;52
"3036";"Navajo Blues";1996;90;NA;3;30
"3037";"Navigators, The";2001;96;NA;6,8;591
"3038";"Near Death";2004;95;NA;2,3;55
"3039";"Ned Kelly";2003;110;NA;6,3;2208
"3040";"Negotiator, The";1998;139;50000000;7,2;19100
"3041";"Nemesis 4: Death Angel";1995;65;NA;1,7;181
"3042";"Nemesis Game";2003;92;3000000;5,5;339
"3043";"Net, The";1995;114;22000000;5,6;12201
"3044";"Never Again";2001;98;500000;5,7;309
"3045";"Never Been Kissed";1999;107;NA;5,7;10767
"3046";"Never Die Alone";2004;88;NA;5,1;845
"3047";"Never Ever";1996;110;NA;4,8;49
"3048";"Never Get Outta the Boat";2002;97;NA;4,7;34
"3049";"Never Talk to Strangers";1995;86;NA;4,7;1132
"3050";"Never Too Late";1997;96;NA;6;39
"3051";"New Alcatraz";2002;96;NA;3,3;268
"3052";"New Best Friend";2002;91;NA;5,2;730
"3053";"New Blood";1999;98;NA;5,3;282
"3054";"New Guy, The";2002;89;13000000;5,2;4266
"3055";"New Jersey Drive";1995;98;5000000;5,4;348
"3056";"New Port South";2001;95;NA;5;123
"3057";"New Rose Hotel";1998;92;NA;4,3;929
"3058";"New Suit";2002;94;NA;5,8;66
"3059";"New Swiss Family Robinson, The";1998;90;NA;4,6;142
"3060";"New World Disorder";1999;92;NA;4,1;305
"3061";"NewsBreak";2000;94;NA;3,7;44
"3062";"Newton Boys, The";1998;113;27000000;5,7;2003
"3063";"Next Best Thing, The";2000;108;25000000;4,7;3131
"3064";"Next Big Thing, The";2001;87;NA;6;72
"3065";"Next Friday";2000;98;9500000;5,2;3457
"3066";"Next Stop Wonderland";1998;104;1000000;6,7;1467
"3067";"Ngo si sui";1998;108;NA;6,5;2867
"3068";"Niagara, Niagara";1997;93;NA;6,6;510
"3069";"Nice Guys Sleep Alone";1999;92;NA;5,9;195
"3070";"Nicholas Nickleby";2002;132;10000000;7,4;1651
"3071";"Nick and Jane";1997;95;NA;5,5;175
"3072";"Nick of Time";1995;90;NA;6,2;5125
"3073";"Nicotina";2003;90;NA;6,4;431
"3074";"Night Caller, The";1998;92;NA;4,2;76
"3075";"Night Eyes 4";1996;101;NA;3,5;85
"3076";"Night Falls on Manhattan";1997;118;NA;6,3;1399
"3077";"Night Flier";1997;93;NA;5,4;1294
"3078";"Night Hunter";1995;86;NA;4;102
"3079";"Night Orchid";1997;106;NA;4,3;32
"3080";"Night Shade";1997;96;NA;2,1;23
"3081";"Night That Never Happened, The";1997;95;NA;5;50
"3082";"Night and the City";1992;105;NA;5,7;798
"3083";"Night and the Moment, The";1995;90;NA;5;72
"3084";"Night at the Golden Eagle";2002;87;NA;5,8;214
"3085";"Night of the Demons III";1997;85;NA;3;249
"3086";"Nightstalker";2002;95;NA;4;212
"3087";"Nightwatch";1997;101;NA;6,1;2944
"3088";"Nikita Blues";2001;85;NA;3,1;22
"3089";"Nil by Mouth";1997;128;9000000;6,9;1159
"3090";"Nine Dead Gay Guys";2002;83;NA;6,2;274
"3091";"Nine Months";1995;103;NA;5,3;6351
"3092";"Ninth Gate, The";1999;133;38000000;6,4;16291
"3093";"Ninth Street";1999;95;NA;5,7;35
"3094";"Nirgendwo in Afrika";2001;141;NA;8;2688
"3095";"Nirvana";1997;113;NA;5,4;1199
"3096";"Nixon";1995;212;50000000;6,8;5837
"3097";"No Alibi";2000;90;NA;4,4;201
"3098";"No Code of Conduct";1998;95;12000000;4,4;314
"3099";"No Contest II";1997;86;NA;4,3;89
"3100";"No Exit";1995;93;NA;3,4;56
"3101";"No Looking Back";1998;96;5000000;5,6;622
